latitude,longitude,site_name,sample_id,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm
48.6793778,-122.6300583,Aiston Preserve,239,77,7,9716178,-0.232,0.7,36.91,0.719,0.054,11.688,3.283,8.406,53.9,22.73,18.59
48.6793778,-122.6300583,Aiston Preserve,240,77,7,1358797,4.877,0.79,31.3,0.679,0.048,10.833,3.481,7.352,53.49,23.92,18.36
48.6793778,-122.6300583,Aiston Preserve,241,77,7,4914880,8.871,0.825,32.77,0.679,0.057,14.704,4.725,9.979,55.99,27.79,19.57
48.6793778,-122.6300583,Aiston Preserve,242,77,7,2861586,0.01,0.93,31.29,0.696,0.051,14.612,4.446,10.166,58.55,28.38,19.55
47.50161,-122.38593,Arroyo Beach,281,13,11,3284819,7.084,0.92,35.47,0.701,0.055,15.476,4.622,10.854,58.14,26.11,20.16
47.50161,-122.38593,Arroyo Beach,282,13,11,6484263,0.635,0.965,31.89,0.66,0.054,17.95,6.107,11.844,60.43,27.56,22.3
47.50161,-122.38593,Arroyo Beach,283,13,11,8681720,11.884,0.86,30.8,0.645,0.061,16.874,5.993,10.881,56.18,28.43,22.12
47.50161,-122.38593,Arroyo Beach,284,13,11,1813468,6.1,0.955,34.44,0.675,0.058,17.682,5.752,11.93,59.16,27.66,21.17
47.50161,-122.38593,Arroyo Beach,285,13,11,1987287,15.285,0.875,24.71,0.6,0.034,10.974,4.395,6.579,57.94,24.68,18.62
47.50161,-122.38593,Arroyo Beach,286,13,11,6254099,0,0.645,34.54,0.714,0.053,12.661,3.616,9.045,55.53,25.77,18.3
47.27568,-122.4173,Blair Waterway,149,41,11,4234624,0.672,0.89,35.75,0.718,0.054,15.911,4.486,11.425,59.5,25.3,21.23
47.27568,-122.4173,Blair Waterway,150,41,11,5143570,6.432,0.68,34.35,0.73,0.055,13.249,3.575,9.674,55.87,24.7,20.41
47.27568,-122.4173,Blair Waterway,151,41,11,4339810,9.59,1.075,32.71,0.665,0.059,16.19,5.416,10.774,56.61,26.94,21.6
47.27568,-122.4173,Blair Waterway,152,41,11,3633030,9.377,0.71,33.81,0.736,0.067,15.566,4.108,11.458,55.46,31.63,19.32
47.2632444,-122.385731,Blair Waterway Two,141,42,11,7415687,26.424,0.745,32.36,0.659,0.051,9.829,3.349,6.48,50.13,22.49,17.76
47.2632444,-122.385731,Blair Waterway Two,142,42,11,2336026,12.854,0.97,31.46,0.615,0.058,12.898,4.96,7.938,51.51,24.26,20.19
47.2632444,-122.385731,Blair Waterway Two,143,42,11,3199451,2.637,0.9,33.47,0.665,0.053,13.316,4.46,8.856,55.25,25.53,18.76
47.2632444,-122.385731,Blair Waterway Two,144,42,11,4752301,1.269,0.815,30.92,0.65,0.046,11.972,4.192,7.78,55.21,22.75,20.03
47.68234,-122.5064,Brackenwood Lane,96,23,10,1269668,-1.514,0.555,36.94,0.723,0.052,15.838,4.393,11.446,60.24,26.11,19.7
47.68234,-122.5064,Brackenwood Lane,97,23,10,2011541,15.989,0.625,33.04,0.639,0.05,15.892,5.736,10.156,58.67,27.49,19.06
47.68234,-122.5064,Brackenwood Lane,98,23,10,1651492,6.809,0.75,34.22,0.672,0.052,19.457,6.375,13.083,62.93,29.59,20.53
47.68234,-122.5064,Brackenwood Lane,99,23,10,2161794,7.492,0.755,34.28,0.738,0.056,17.489,4.59,12.899,61.43,27.83,22.01
47.78184,-122.83474,Broad Spit ,269,30,12,1266434,0.896,0.645,32.14,0.717,0.036,9.702,2.746,6.957,57.72,23.12,16.22
47.78184,-122.83474,Broad Spit ,270,30,12,1677283,10.875,0.56,32.6,0.694,0.05,14.668,4.493,10.176,58.66,25.72,20.69
47.78184,-122.83474,Broad Spit ,271,30,12,4814194,7.416,0.79,38.21,0.702,0.059,15.907,4.744,11.163,57.54,25.12,20.21
47.78184,-122.83474,Broad Spit ,272,30,12,1386295,9.277,0.66,33.93,0.728,0.063,16.227,4.416,11.811,57.23,29.54,20.59
47.30515,-122.44441,Browns Point Lighthouse,194,54,11,1869821,3.733,0.84,35.24,0.659,0.051,16.106,5.488,10.618,59.19,25.93,19.63
47.30515,-122.44441,Browns Point Lighthouse,195,54,11,10377436,1.51,0.8,37.38,0.721,0.06,13.293,3.715,9.578,54.25,24.56,19.23
47.30515,-122.44441,Browns Point Lighthouse,196,54,11,9951688,2.472,0.82,35.77,0.712,0.061,16.448,4.736,11.712,57.74,27.12,20.91
47.30515,-122.44441,Browns Point Lighthouse,197,54,11,9992062,1.531,0.935,37.74,0.702,0.056,17.334,5.171,12.163,60.09,27.76,19.32
48.520971,-122.600717,Cap Sante,214,64,7,1293401,14.371,0.955,26.1,0.635,0.038,11.283,4.115,7.168,57.43,25.92,18.45
48.520971,-122.600717,Cap Sante,215,64,7,4081903,4.895,0.725,35.3,0.723,0.054,11.393,3.151,8.243,53.57,24.6,17.72
48.520971,-122.600717,Cap Sante,216,64,7,1544138,42.805,0.6,35.3,0.723,0.054,11.393,3.151,8.243,53.57,24.6,17.72
48.520971,-122.600717,Cap Sante,217,64,7,11524795,11.947,0.88,35.66,0.66,0.048,10.542,3.586,6.956,52.36,22.32,16.69
47.1905742,-122.5834897,Chambers Bay Park,127,56,13,22777074,15.598,0.885,34.12,0.648,0.052,13.977,4.923,9.055,56.01,24.49,19.35
47.1905742,-122.5834897,Chambers Bay Park,128,56,13,3578424,14.492,1,26.78,0.6,0.041,9.308,3.726,5.582,51.48,23.58,17.17
47.1905742,-122.5834897,Chambers Bay Park,129,56,13,4479918,8.659,1.08,32.62,0.634,0.042,14.003,5.125,8.878,59.61,25.39,17.98
47.1905742,-122.5834897,Chambers Bay Park,130,56,13,4173684,7.718,1.26,31.08,0.653,0.053,16.477,5.723,10.754,58.77,27.32,21.55
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",33,75,7,4058830,3.411,0.705,33.99,0.656,0.049,11.76,4.046,7.714,54.14,23.55,17.8
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",34,75,7,2992400,9.761,0.86,34.69,0.667,0.045,9.375,3.12,6.255,51.73,20.59,16.93
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",35,75,7,3977529,0.821,0.935,35.25,0.676,0.057,17.294,5.6,11.694,59.07,26.32,21.34
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",36,75,7,3836041,1.463,0.975,34.38,0.627,0.051,13.57,5.061,8.509,55.16,23.68,18.95
48.04906,-122.7724,Chimacum Creek delta,100,8,9,2951353,2.599,0.825,36.56,0.693,0.054,17.732,5.45,12.282,60.98,25.96,21.22
48.04906,-122.7724,Chimacum Creek delta,101,8,9,1782912,2.837,0.75,28.65,0.603,0.045,11.096,4.405,6.691,52.86,24.82,17.8
48.04906,-122.7724,Chimacum Creek delta,102,8,9,2742037,-0.411,0.995,33.47,0.654,0.052,14.052,4.862,9.19,55.95,24.15,20.32
48.04906,-122.7724,Chimacum Creek delta,103,8,9,3088893,2.177,1.045,29.73,0.591,0.057,16.11,6.588,9.522,55.17,24.85,23.36
48.68975,-122.50434,"Chuckanut, Clark's Point",25,74,7,4394757,2.552,0.985,34.49,0.667,0.055,18.501,6.167,12.334,60.74,26.1,22.56
48.68975,-122.50434,"Chuckanut, Clark's Point",26,74,7,2351039,8.472,0.8,36.98,0.708,0.067,14.773,4.312,10.461,53.85,25.85,20.32
48.68975,-122.50434,"Chuckanut, Clark's Point",27,74,7,3154062,13.731,0.475,31.61,0.729,0.042,12.073,3.276,8.797,59.39,25.18,18.61
48.68975,-122.50434,"Chuckanut, Clark's Point",28,74,7,1063513,20.089,0.65,32.12,0.657,0.056,12.94,4.44,8.5,53.3,25.54,19.44
47.29,-122.41,Commencement Bay Skookum,37,45,11,6405636,7.884,0.695,32.12,0.661,0.055,13.552,4.595,8.957,54.74,26.67,19.1
47.29,-122.41,Commencement Bay Skookum,38,45,11,6222160,4.124,0.8,33.09,0.658,0.054,12.781,4.368,8.413,53.86,24.6,19.19
47.29,-122.41,Commencement Bay Skookum,39,45,11,6256813,17.324,0.66,33.07,0.686,0.05,12.189,3.829,8.36,55.26,24.65,18.56
47.29,-122.41,Commencement Bay Skookum,40,45,11,4652774,6.966,0.865,32.34,0.664,0.053,11.259,3.779,7.48,52.2,23.54,18.82
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",114,48,11,3585899,31.015,0.635,36.54,0.748,0.049,13.872,3.49,10.383,59.74,25.48,18.67
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",115,48,11,4636577,11.286,0.93,34.93,0.703,0.054,17.884,5.307,12.578,61.58,27.21,21.49
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",116,48,11,4040140,4.915,0.87,30.62,0.672,0.05,13.112,4.301,8.811,56.19,26.09,19.63
47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",117,48,11,2353038,8.819,0.895,35.9,0.71,0.056,18.298,5.298,12.999,61.41,27.4,21.52
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",157,49,11,4263664,5.02,0.82,37.12,0.69,0.054,16.349,5.062,11.287,59.4,26.4,19.39
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",158,49,11,13167667,16.268,0.955,34.57,0.683,0.055,13.435,4.254,9.181,55.09,25.49,18.91
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",159,49,11,3461399,5.768,0.75,37.21,0.678,0.056,11.949,3.843,8.106,52.65,23.78,17.4
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",160,49,11,8190625,13.784,0.75,34.82,0.695,0.053,11.705,3.572,8.133,53.44,24.95,17.52
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",161,49,11,7886778,-0.636,0.83,34.49,0.622,0.049,12.038,4.552,7.486,53.44,23.25,17.47
47.40301418,-122.3305538,Des Moines Marina,1,21,11,5083144,4.027,0.88,31.74,0.667,0.049,13.892,4.625,9.267,57.31,26.6,19.15
47.40301418,-122.3305538,Des Moines Marina,2,21,11,10486498,4.41,1.145,33.9,0.664,0.051,15.309,5.149,10.16,58.42,26.46,19.39
47.40301418,-122.3305538,Des Moines Marina,3,21,11,3510592,5.064,0.945,29.34,0.636,0.044,13.815,5.022,8.793,58.53,26.81,19.1
47.40301418,-122.3305538,Des Moines Marina,4,21,11,16661987,21.67,1.01,33.58,0.645,0.052,13.466,4.776,8.69,55.06,25.56,18.39
48.064957,-122.857524,Discovery Bay,162,12,6,5436068,17.512,0.745,34.03,0.675,0.046,14.344,4.664,9.68,59.29,25.24,19.01
48.064957,-122.857524,Discovery Bay,163,12,6,5773098,1.485,0.805,33.38,0.686,0.061,15.177,4.771,10.405,55.56,29.62,18.94
48.064957,-122.857524,Discovery Bay,164,12,6,1513621,15.957,0.75,32.81,0.683,0.069,17.32,5.487,11.834,55.47,28.06,23.17
48.064957,-122.857524,Discovery Bay,165,12,6,3207158,2.376,0.875,35.45,0.689,0.06,18.007,5.591,12.416,59.27,28.11,21.02
47.33775,-122.59014,Donkey Creek Delta,265,44,11,4434123,0.189,0.755,36.77,0.728,0.052,15.352,4.179,11.173,59.88,27.12,18.71
47.33775,-122.59014,Donkey Creek Delta,266,44,11,2345306,-0.369,0.635,32.1,0.706,0.047,14.256,4.194,10.062,59.63,28.69,18.32
47.33775,-122.59014,Donkey Creek Delta,267,44,11,1872905,6.206,0.695,32.51,0.725,0.055,14.335,3.937,10.399,57.29,27.75,20.12
47.33775,-122.59014,Donkey Creek Delta,268,44,11,6667782,3.605,0.85,36.75,0.688,0.054,15.751,4.92,10.831,58.67,24.66,20.37
47.61889,-122.5275,Eagle Harbor Dr,57,31,10,2871510,11.306,0.815,43.34,0.703,0.055,12.097,3.598,8.499,53.69,21.21,17.22
47.61889,-122.5275,Eagle Harbor Dr,58,31,10,939065,1.798,0.91,49.9,0.725,0.064,14.403,3.956,10.447,54.65,24.48,15.65
47.61889,-122.5275,Eagle Harbor Dr,59,31,10,2018231,12.545,1.02,46.15,0.705,0.061,16.881,4.979,11.903,57.86,24.89,17.91
47.61889,-122.5275,Eagle Harbor Dr,60,31,10,1556797,24.79,0.825,37.97,0.674,0.052,11.686,3.812,7.874,53.31,24.07,16.16
48.69368,-122.90985,"Eastsound, Fishing Bay",49,60,7,5588536,-0.785,0.355,31.94,0.688,0.047,13.388,4.171,9.217,58.26,25.96,19.08
48.69368,-122.90985,"Eastsound, Fishing Bay",50,60,7,420155,9.767,0.405,33.16,0.703,0.048,10.666,3.17,7.496,53.89,23.32,17.99
48.69368,-122.90985,"Eastsound, Fishing Bay",51,60,7,5289198,12.773,0.58,30.28,0.673,0.051,11.223,3.673,7.55,52.92,24.54,19.2
48.69368,-122.90985,"Eastsound, Fishing Bay",52,60,7,776433,8.385,0.52,34.05,0.675,0.052,12.005,3.906,8.099,53.88,23.51,18.78
47.81407,-122.3825,Edmonds Ferry,227,69,9,16349554,0.818,0.885,37.52,0.695,0.058,13.702,4.176,9.527,54.82,24.53,18.88
47.81407,-122.3825,Edmonds Ferry,228,69,9,7086401,-4.249,0.665,37.19,0.72,0.05,13.193,3.699,9.494,57.37,22.89,19.44
47.81407,-122.3825,Edmonds Ferry,229,69,9,5844280,-2.435,0.82,40.87,0.704,0.06,17.766,5.257,12.509,59.17,25.11,20.6
47.81407,-122.3825,Edmonds Ferry,230,69,9,3776740,-4.327,0.39,37.93,0.693,0.06,13.248,4.068,9.18,53.43,23.41,19.35
47.8111,-122.388,Edmonds Marina,21,68,9,2670664,7.034,0.665,37.34,0.719,0.055,11.182,3.145,8.037,52.77,23.07,17.68
47.8111,-122.388,Edmonds Marina,22,68,9,6702704,11.402,0.885,35.3,0.703,0.053,15.016,4.457,10.559,58.43,26.47,19.34
47.8111,-122.388,Edmonds Marina,23,68,9,52691211,23.271,0.865,32.75,0.662,0.05,13.56,4.58,8.98,56.34,26.48,18.38
47.8111,-122.388,Edmonds Marina,24,68,9,5299232,13.708,0.645,31.43,0.703,0.048,12.715,3.778,8.937,56.93,26.91,18.56
47.074603,-123.003527,Eld Inlet,186,72,13,5090881,10.975,0.63,33.62,0.733,0.066,14.622,3.902,10.72,54.54,28.09,20.81
47.074603,-123.003527,Eld Inlet,187,72,13,1009809,12.54,0.62,34.81,0.687,0.061,12.569,3.933,8.636,51.98,26.68,17.89
47.074603,-123.003527,Eld Inlet,188,72,13,16612698,7.04,0.835,33.8,0.72,0.064,20.949,5.874,15.075,61.76,30.82,23.43
47.074603,-123.003527,Eld Inlet,189,72,13,16495985,8.89,0.745,32.83,0.722,0.058,20.741,5.756,14.984,63.84,29.93,23.89
47.61862,-122.36108,Elliot Bay Myrtle Edwards,69,19,10,1806125,13.395,0.89,33.1,0.675,0.061,16.028,5.215,10.812,56.16,26.05,22.33
47.61862,-122.36108,Elliot Bay Myrtle Edwards,70,19,10,2362698,16.327,0.74,34.7,0.712,0.053,12.024,3.469,8.555,54.47,25.88,17.49
47.61862,-122.36108,Elliot Bay Myrtle Edwards,71,19,10,3124141,8.805,0.615,34,0.679,0.056,11.842,3.803,8.039,52.45,24.34,18.52
47.61862,-122.36108,Elliot Bay Myrtle Edwards,72,19,10,2002595,3.62,0.935,37.48,0.702,0.055,17.137,5.104,12.033,60.09,25.49,20.96
47.61862,-122.36108,Elliot Bay Myrtle Edwards,73,19,10,2882039,16.483,0.94,35.92,0.706,0.066,20.214,5.944,14.27,59.96,27.64,23.97
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",29,14,10,6895113,1.234,0.785,34.21,0.657,0.044,12.846,4.411,8.435,57.66,24.48,17.47
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",30,14,10,12184393,6.551,0.66,34.19,0.668,0.045,12.174,4.044,8.13,56.35,23.07,18.29
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",31,14,10,8570642,13.24,1.04,35.64,0.631,0.047,16.193,5.983,10.21,60.19,25.66,18.55
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",32,14,10,9121683,0.975,0.94,32.82,0.657,0.05,17.646,6.059,11.587,61.43,25.83,22.25
47.9726,-122.22977,Everett Harbor,206,66,8.2,8135083,-3.8,0.885,35.53,0.677,0.058,13.481,4.357,9.124,54.02,24.63,19.3
47.9726,-122.22977,Everett Harbor,207,66,8.2,6115910,5.493,0.865,31.62,0.621,0.046,11.297,4.284,7.013,53.39,23.39,17.76
47.9726,-122.22977,Everett Harbor,208,66,8.2,5808287,3.773,0.675,35.35,0.669,0.048,12.061,3.992,8.07,55.04,23.55,17.61
47.9726,-122.22977,Everett Harbor,209,66,8.2,3196291,-0.305,0.68,34.53,0.666,0.045,11.18,3.74,7.44,54.89,24.01,16.35
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",61,63,7,3110123,5.992,0.73,38.79,0.737,0.054,13.509,3.554,9.955,57.01,22.35,20.14
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",62,63,7,1670358,13.528,0.755,35.25,0.696,0.048,12.166,3.7,8.466,56,24.31,17.64
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,63,7,4330874,10.958,0.74,38.67,0.724,0.062,14.817,4.088,10.729,55.76,24.77,20.09
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",64,63,7,3613765,17.031,0.825,35.86,0.691,0.057,14.16,4.381,9.78,55.55,25.1,19.56
47.19483,-122.748665,Filucy Bay,174,59,13,12472188,6.866,0.795,26.75,0.599,0.034,9.855,3.955,5.899,55.74,24.77,15.97
47.19483,-122.748665,Filucy Bay,175,59,13,6726341,2.006,0.815,45.18,0.694,0.053,15.767,4.832,10.936,58.97,20.21,20.31
47.19483,-122.748665,Filucy Bay,176,59,13,13491947,10.585,1.055,41.84,0.669,0.05,18.951,6.276,12.675,63.23,22.09,21.69
47.19483,-122.748665,Filucy Bay,177,59,13,10820612,0.579,0.76,33.5,0.648,0.046,12.55,4.413,8.137,56.02,23.73,18.27
48.5069444,-123.0194444,Friday Harbor,222,61,7,6899779,-2.928,0.895,33.51,0.683,0.044,14.502,4.597,9.905,60.9,24.29,19.98
48.5069444,-123.0194444,Friday Harbor,223,61,7,4285885,12.311,0.625,33.54,0.698,0.052,11.658,3.517,8.142,54.03,23.87,18.82
48.5069444,-123.0194444,Friday Harbor,224,61,7,3660475,2.297,0.735,21.77,0.557,0.03,9.021,3.993,5.027,55.34,24.11,17.31
48.5069444,-123.0194444,Friday Harbor,225,61,7,6465687,-4.878,0.845,37.19,0.722,0.054,14.441,4.01,10.431,57.93,24.75,19.56
48.5069444,-123.0194444,Friday Harbor,226,61,7,5908857,18.935,0.65,37.07,0.703,0.049,10.947,3.247,7.7,53.84,22.43,17.2
47.33785,-122.58277,Gig Harbor Boat Launch,131,58,11,5582113,5.435,0.89,30.69,0.652,0.056,14.016,4.88,9.137,54.58,25.56,21.34
47.33785,-122.58277,Gig Harbor Boat Launch,132,58,11,2734669,9.944,0.845,29.82,0.649,0.049,11.704,4.114,7.591,53.71,25.97,18.25
47.33785,-122.58277,Gig Harbor Boat Launch,133,58,11,5447066,14.656,1.025,29.4,0.58,0.048,12.842,5.392,7.451,53.86,26.87,17.51
47.33785,-122.58277,Gig Harbor Boat Launch,134,58,11,1608895,29.853,1.1,31.18,0.626,0.056,14.975,5.604,9.371,55.15,26.35,20.68
47.5706,-122.9717,Hood Canal Holly,104,29,12,839073,-2.253,0.725,31.83,0.672,0.048,15.226,4.998,10.228,59.59,26.28,20.52
47.5706,-122.9717,Hood Canal Holly,105,29,12,2253784,9.83,0.69,34.18,0.693,0.058,14.754,4.533,10.221,56.15,25.53,20.86
47.5706,-122.9717,Hood Canal Holly,106,29,12,291625,-1.043,0.755,34.53,0.705,0.06,17.157,5.057,12.1,58.76,26.68,22.35
47.5706,-122.9717,Hood Canal Holly,107,29,12,1692340,-1.628,0.575,33.7,0.714,0.053,16.647,4.755,11.891,60.8,27.27,21.28
47.5706,-122.9717,Hood Canal Holly,108,29,12,4124139,-0.271,0.63,35.31,0.667,0.055,16.345,5.447,10.898,58.36,27.32,19.36
47.5706,-122.9717,Hood Canal Holly,109,29,12,380080,-6.292,0.685,36.28,0.688,0.055,17.472,5.455,12.018,60.34,27.46,19.99
48.024789,-122.998135,Jamestown,82,2,6,2974825,7.943,0.58,36.77,0.723,0.054,13.057,3.614,9.442,55.75,25.17,18.3
48.024789,-122.998135,Jamestown,83,2,6,4846845,12.472,0.615,35.3,0.689,0.062,14.997,4.659,10.338,55.1,27.87,19.07
48.024789,-122.998135,Jamestown,84,2,6,2235572,8.018,0.545,32.82,0.694,0.054,11.005,3.367,7.639,51.96,24.21,18.5
48.024789,-122.998135,Jamestown,85,2,6,3342765,5.417,0.45,33.93,0.717,0.059,13.568,3.838,9.73,54.99,27.36,19.06
48.024789,-122.998135,Jamestown,86,2,6,2775717,5.625,0.61,26.11,0.663,0.04,13.364,4.505,8.859,60.6,25.38,22.06
48.024789,-122.998135,Jamestown,87,2,6,2874750,7.041,0.64,38.24,0.735,0.06,17.687,4.688,12.999,60.13,27.02,20.92
47.794695,-122.499858,Kingston Marina,166,36,10,2382760,4.546,0.815,34.54,0.672,0.055,16.868,5.532,11.336,59.01,24.73,22.49
47.794695,-122.499858,Kingston Marina,167,36,10,7415597,7.722,0.845,32.73,0.657,0.045,15.675,5.384,10.291,61.09,27.81,18.51
47.794695,-122.499858,Kingston Marina,168,36,10,4668354,3.94,0.875,27.43,0.614,0.051,16.233,6.265,9.968,58.22,26.52,23.54
47.794695,-122.499858,Kingston Marina,169,36,10,7376508,1.276,0.71,30.3,0.604,0.042,12.041,4.768,7.273,55.81,23.4,18.38
47.54167,-122.64034,Kitsap St Boat Launch,53,25,10,3525403,1.604,0.805,48.61,0.739,0.07,13.992,3.654,10.338,52.9,23.4,17.18
47.54167,-122.64034,Kitsap St Boat Launch,54,25,10,990428,21.209,0.8,26.95,0.695,0.034,14.664,4.476,10.188,66.98,26.94,20.95
47.54167,-122.64034,Kitsap St Boat Launch,55,25,10,1035758,10.072,0.855,33.38,0.696,0.052,18.167,5.527,12.64,62.58,28.33,21.36
47.54167,-122.64034,Kitsap St Boat Launch,56,25,10,5860348,10.107,0.87,22.6,0.713,0.051,13.851,3.969,9.882,57.76,33.16,22.83
47.30973,-122.68868,Kopachuck State Park,249,52,13,7962917,4.823,0.86,37.26,0.68,0.06,15.956,5.0764,10.88,56.77,25.83,19.91
47.30973,-122.68868,Kopachuck State Park,250,52,13,9304020,4.095,0.77,34.9,0.667,0.054,13.28,4.418,8.862,54.74,24,19.33
47.30973,-122.68868,Kopachuck State Park,251,52,13,2452740,9.21,0.69,34.13,0.694,0.047,11.086,3.39,7.696,54.71,24.03,17.15
47.30973,-122.68868,Kopachuck State Park,253,52,13,8335262,0.775,0.79,13.89,0.678,0.056,20.305,6.542,13.764,62.51,42.76,37.08
47.5833538,-122.6414587,Lions Park,299,37,10,8242277,6.1,0.66,25.07,0.731,0.059,13.578,3.657,9.921,55.2,26.96,26.59
47.5833538,-122.6414587,Lions Park,300,37,10,8603570,13.891,0.75,22.39,0.642,0.05,11.971,4.282,7.69,53.6,25.25,25.38
47.5833538,-122.6414587,Lions Park,301,37,10,2556547,7.869,0.805,32.35,0.647,0.048,10.093,3.561,6.532,51.59,22.3,17.55
47.5833538,-122.6414587,Lions Park,302,37,10,6090272,13.836,0.785,30.77,0.692,0.058,10.21,3.144,7.066,49.66,25.63,18.04
48.77636877,-122.5378679,Locust Beach,235,76,7,1911451,10.204,0.665,29.64,0.732,0.04,9.255,2.484,6.771,55.41,24.21,17.03
